INFO 2014-03-20 14:28:08,679 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/connection.html"><tt class="docutils literal"><span class="pre">connection</span></tt> – Tools for connecting to MongoDB</a>
INFO 2014-03-20 14:28:08,680 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/connection.html
INFO 2014-03-20 14:28:08,683 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/connection.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,690 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/database.html"><tt class="docutils literal"><span class="pre">database</span></tt> – Database level operations</a>
INFO 2014-03-20 14:28:08,691 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/database.html
INFO 2014-03-20 14:28:08,693 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/database.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,700 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/collection.html"><tt class="docutils literal"><span class="pre">collection</span></tt> – Collection level operations</a>
INFO 2014-03-20 14:28:08,701 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/collection.html
INFO 2014-03-20 14:28:08,703 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/collection.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,710 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/command_cursor.html"><tt class="docutils literal"><span class="pre">command_cursor</span></tt> – Tools for iterating over MongoDB command results</a>
INFO 2014-03-20 14:28:08,711 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/command_cursor.html
INFO 2014-03-20 14:28:08,721 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/command_cursor.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,729 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/cursor.html"><tt class="docutils literal"><span class="pre">cursor</span></tt> – Tools for iterating over MongoDB query results</a>
INFO 2014-03-20 14:28:08,730 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/cursor.html
INFO 2014-03-20 14:28:08,733 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/cursor.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,740 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/bulk.html"><tt class="docutils literal"><span class="pre">bulk</span></tt> – The bulk write operations interface</a>
INFO 2014-03-20 14:28:08,741 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/bulk.html
INFO 2014-03-20 14:28:08,743 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/bulk.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,751 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/errors.html"><tt class="docutils literal"><span class="pre">errors</span></tt> – Exceptions raised by the <tt class="docutils literal"><span class="pre">pymongo</span></tt> package</a>
INFO 2014-03-20 14:28:08,752 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/errors.html
INFO 2014-03-20 14:28:08,756 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/errors.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,764 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/master_slave_connection.html"><tt class="docutils literal"><span class="pre">master_slave_connection</span></tt> – Master-slave connection to MongoDB</a>
INFO 2014-03-20 14:28:08,766 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/master_slave_connection.html
INFO 2014-03-20 14:28:08,768 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/master_slave_connection.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,776 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/message.html"><tt class="docutils literal"><span class="pre">message</span></tt> – Tools for creating messages to be sent to MongoDB</a>
INFO 2014-03-20 14:28:08,777 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/message.html
INFO 2014-03-20 14:28:08,779 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/message.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,786 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/mongo_client.html"><tt class="docutils literal"><span class="pre">mongo_client</span></tt> – Tools for connecting to MongoDB</a>
INFO 2014-03-20 14:28:08,787 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/mongo_client.html
INFO 2014-03-20 14:28:08,789 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/mongo_client.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,796 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/mongo_replica_set_client.html"><tt class="docutils literal"><span class="pre">mongo_replica_set_client</span></tt> – Tools for connecting to a MongoDB replica set</a>
INFO 2014-03-20 14:28:08,797 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/mongo_replica_set_client.html
INFO 2014-03-20 14:28:08,799 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/mongo_replica_set_client.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,816 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/pool.html"><tt class="docutils literal"><span class="pre">pool</span></tt> – Pool module for use with a MongoDB client.</a>
INFO 2014-03-20 14:28:08,817 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/pool.html
INFO 2014-03-20 14:28:08,819 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/pool.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,827 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/replica_set_connection.html"><tt class="docutils literal"><span class="pre">replica_set_connection</span></tt> – Tools for connecting to a MongoDB replica set</a>
INFO 2014-03-20 14:28:08,829 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/replica_set_connection.html
INFO 2014-03-20 14:28:08,832 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/replica_set_connection.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,840 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/son_manipulator.html"><tt class="docutils literal"><span class="pre">son_manipulator</span></tt> – Manipulators that can edit SON documents as they are saved or retrieved</a>
INFO 2014-03-20 14:28:08,840 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/son_manipulator.html
INFO 2014-03-20 14:28:08,843 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/son_manipulator.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,852 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/cursor_manager.html"><tt class="docutils literal"><span class="pre">cursor_manager</span></tt> – Managers to handle when cursors are killed after being closed – DEPRECATED</a>
INFO 2014-03-20 14:28:08,854 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/cursor_manager.html
INFO 2014-03-20 14:28:08,856 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/cursor_manager.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,864 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/uri_parser.html"><tt class="docutils literal"><span class="pre">uri_parser</span></tt> – Tools to parse and validate a MongoDB URI</a>
INFO 2014-03-20 14:28:08,865 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/uri_parser.html
INFO 2014-03-20 14:28:08,867 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/uri_parser.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,875 crawler 949 140735266841360 link <a class="reference internal" href="gridfs/index.html"><tt class="docutils literal"><span class="pre">gridfs</span></tt> – Tools for working with GridFS</a>
